company_name,page_content,product_service_name,product_information
generali,privatkunden_gesundheit-freizeit_gesundheitsservices_kooperationen_mister-spex_cleansed.md,Pflegezusatzversicherung,"Die Pflegezusatzversicherung ergänzt die gesetzliche Pflegeversicherung und bietet finanzielle Unterstützung im Falle einer Pflegebedürftigkeit. Sie ermöglicht eine bessere Absicherung und sorgt dafür, dass im Pflegefall die gewünschten Leistungen und Hilfsmittel bereitgestellt werden können."
generali,privatkunden_fahrzeug-zuhause_kfz-versicherung_carglass_cleansed.md,Privathaftpflichtversicherung,"Die Privathaftpflichtversicherung schützt vor finanziellen Schäden, die durch versehentliche Verletzungen oder Sachschäden an Dritten entstehen. Sie ist eine essentielle Absicherung für Privatpersonen und deckt auch Schäden, die durch Kinder oder Haustiere verursacht werden. Die Versicherung bietet umfassenden Schutz und ist in der Regel kostengünstig."
generali,privatkunden_vorsorge-finanzen_goldanlage_cleansed.md,Vermögensaufbau Sicherheitsplan,"Der Vermögensaufbau Sicherheitsplan ist ein Finanzprodukt, das darauf abzielt, Vermögen langfristig aufzubauen und gleichzeitig eine gewisse Sicherheit zu bieten. Es kombiniert Spar- und Anlagemöglichkeiten, um den Kunden bei der Erreichung ihrer finanziellen Ziele zu unterstützen und eine solide finanzielle Basis für die Zukunft zu schaffen."
generali,geschaeftskunden_gesundheit-betriebliche-vorsorge_betriebliches-gesundheitsmanagement_cleansed.md,Generali GesundheitsApp,"Die Generali GesundheitsApp ermöglicht es Nutzern, ihre Gesundheitsdaten zu verwalten und sich über ihre Krankenversicherung zu informieren. Die App bietet Funktionen zur Unterstützung der Gesundheitsvorsorge und zur Förderung eines gesunden Lebensstils."
generali,privatkunden_fahrzeug-zuhause_hausratversicherung_cleansed.md,Hausratversicherung Optimal,"Die Hausratversicherung Optimal bietet umfassenden Schutz für Ihr Zuhause, einschließlich unbegrenzter Deckung für Neuwert und Schutz gegen grobe Fahrlässigkeit. Sie deckt Schäden durch Feuer, Einbruchdiebstahl, Leitungswasser und Sturm sowie Elementargefahren ab und ermöglicht individuelle Anpassungen durch Zuwahlbausteine für zusätzlichen Schutz."
generali,journal_versicherungscheck-alle-jahre-wieder-sinnvoll_cleansed.md,Berufsunfähigkeitsversicherung,"Die Berufsunfähigkeitsversicherung sichert das Einkommen ab, falls man aufgrund von Krankheit oder Unfall nicht mehr arbeiten kann. Sie ist besonders wichtig für Personen, die für ihre Familie sorgen oder hohe finanzielle Verpflichtungen haben. Ein jährlicher Versicherungscheck wird empfohlen, um sicherzustellen, dass die Versicherungssumme den aktuellen Lebensumständen entspricht."
generali,privatkunden_fahrzeug-zuhause_elektro-fahrzeuge_cleansed.md,Kfz-Versicherung,"Die Kfz-Versicherung bietet umfassenden Schutz für Fahrzeuge, einschließlich Haftpflicht-, Teil- und Vollkaskoversicherung. Sie deckt Schäden durch Unfälle, Diebstahl und Naturereignisse ab und bietet zusätzliche Leistungen wie die Allgefahrendeckung für Akkus von Elektrofahrzeugen. Kunden profitieren von speziellen Nachlässen und individuellen Anpassungsmöglichkeiten, um den Versicherungsschutz optimal auf ihre Bedürfnisse abzustimmen."
generali,geschaeftskunden_waren-transport_gewerbe-kompakt-mobil_cleansed.md,RundumSchutz,"RundumSchutz bietet umfassenden Versicherungsschutz für Privat- und Geschäftskunden, einschließlich Gesundheitsvorsorge, Sachversicherungen und Haftpflicht. Die Produkte sind individuell anpassbar und decken verschiedene Betriebsarten und Größen ab, um den spezifischen Bedürfnissen der Kunden gerecht zu werden."
generali,geschaeftskunden_waren-transport_warenversicherung_cleansed.md,CARGO EUROPA POLICE,"Die CARGO EUROPA POLICE bietet umfassenden Versicherungsschutz für den Transport von Waren innerhalb Europas, einschließlich der Absicherung gegen typische Transportrisiken wie Diebstahl, Beschädigung und Verlust. Die Versicherung deckt sowohl eigene als auch fremde Güter ab und ist für gewerbliche Transportunternehmen geeignet, die ihre Waren sicher versenden und beziehen möchten."
generali,karriere_karriere-blog_mit-der-generali-quer-durch-deutschland-als-werkstudentin-_cleansed.md,Unfallversicherung,"Die Unfallversicherung bietet finanzielle Unterstützung im Falle eines Unfalls, der zu dauerhaften Schäden oder Invalidität führt. Sie kann auch Leistungen für die Genesung und Rehabilitation umfassen, um die finanzielle Belastung nach einem Unfall zu minimieren."
generali,presse_cleansed.md,Rechtsschutzversicherung,"Die Rechtsschutzversicherung bietet rechtlichen Schutz in verschiedenen Lebensbereichen, einschließlich privater, beruflicher und verkehrsrechtlicher Angelegenheiten. Sie übernimmt die Kosten für Rechtsstreitigkeiten und sorgt dafür, dass Versicherte ihre Rechte durchsetzen können."
generali,privatkunden_gesundheit-freizeit_pflegepflichtversicherung-vollversicherte_cleansed.md,Privathaftpflichtversicherung,"Die Privathaftpflichtversicherung schützt vor finanziellen Schäden, die durch versehentliche Verletzungen oder Beschädigungen Dritter entstehen. Sie ist eine essentielle Absicherung für Privatpersonen und deckt eine Vielzahl von Haftungsfällen ab, um finanzielle Risiken zu minimieren."
generali,nachhaltigkeit_cleansed.md,Rürup-Rente,"Die Rürup-Rente ist eine staatlich geförderte Altersvorsorge, die insbesondere für Selbstständige und Freiberufler geeignet ist. Sie bietet steuerliche Vorteile und eine lebenslange Rente im Alter, um die finanzielle Sicherheit im Ruhestand zu gewährleisten."
generali,journal_cleansed.md,Unfallversicherung,"Die Unfallversicherung bietet finanzielle Unterstützung im Falle eines Unfalls, der zu dauerhaften Schäden oder Invalidität führt. Sie kann auch Leistungen für die Genesung und Rehabilitation umfassen und ist besonders wichtig für Personen mit hohem Risiko in ihrem Alltag oder Beruf."
generali,service-kontakt_schaden-melden_kfz-haftpflicht_cleansed.md,Unfallversicherung,"Die Unfallversicherung bietet finanzielle Unterstützung im Falle eines Unfalls, der zu Verletzungen oder Invalidität führt. Sie kann auch Leistungen für die Rehabilitation und den Verlust von Einkommen beinhalten, um die finanzielle Sicherheit nach einem Unfall zu gewährleisten."
generali,privatkunden_fahrzeug-zuhause_fahrer-mobilitaetsschutz_cleansed.md,Unfallversicherung,"Die Unfallversicherung bietet finanzielle Unterstützung im Falle eines Unfalls, der zu dauerhaften Schäden oder Invalidität führt. Sie sichert die Existenzgrundlage und kann zusätzliche Leistungen wie Tagegeld oder Sterbegeld beinhalten."
generali,service-kontakt_apps_generali-protect-me-app_cleansed.md,Generali Protect App,"Die Generali Protect App bietet rechtzeitige Wetterwarnungen und Informationen zu Wettergefahren, um Kunden während Autofahrten und im Alltag zu schützen. Die App ermöglicht es Nutzern, ortsgenaue Warnungen zu erhalten und gibt Tipps, wie man sich bei extremen Wetterbedingungen verhalten sollte."
generali,geschaeftskunden_geschaeft-gebaeude_ertragsausfallversicherung_cleansed.md,Ertragsausfallversicherung,"Die Ertragsausfallversicherung schützt Unternehmen finanziell vor den Folgen von Betriebsunterbrechungen, die durch Sachschäden verursacht werden. Sie bietet umfassende Kostendeckung für laufende Betriebskosten wie Löhne, Mieten und Kredite während der vereinbarten Haftzeit und kann individuell angepasst werden, um spezifische Risiken abzudecken."
generali,service-kontakt_schaden-melden_hausrat_cleansed.md,Unfallversicherung,"Die Unfallversicherung bietet finanzielle Unterstützung im Falle eines Unfalls, der zu dauerhaften Schäden oder Invalidität führt. Sie kann auch Leistungen für Krankenhausaufenthalte und Rehabilitationsmaßnahmen umfassen und ist besonders wichtig für aktive Menschen und Sportler."
generali,geschaeftskunden_gesundheit-betriebliche-vorsorge_bav-kollektivplan_cleansed.md,RundumSchutz,"RundumSchutz bietet umfassenden Versicherungsschutz für Privat- und Geschäftskunden, einschließlich Gesundheitsvorsorge, Sachversicherungen und Haftpflicht. Die Produkte sind individuell anpassbar und decken verschiedene Betriebsarten und Größen ab, um den spezifischen Bedürfnissen der Kunden gerecht zu werden."
generali,privatkunden_gesundheit-freizeit_krankenratgeber_krankentagegeld_krankentagegeld_cleansed.md,Unfallversicherung,"Die Unfallversicherung bietet finanziellen Schutz bei Unfällen, die zu dauerhaften Schäden oder Invalidität führen können. Sie umfasst Leistungen wie Unfallrenten und Kapitalzahlungen, um die finanziellen Folgen eines Unfalls abzufedern."
generali,privatkunden_fahrzeug-zuhause_photovoltaikversicherung_cleansed.md,Photovoltaikversicherung,"Die Photovoltaikversicherung bietet umfassenden Schutz für Photovoltaikanlagen gegen diverse Gefahren wie Diebstahl, Feuer, Sturm und Überspannung. Sie deckt auch Ertragsausfälle und Schäden durch Bedienungsfehler oder Ungeschicklichkeit ab, sodass Anlagenbesitzer finanziell abgesichert sind, falls ihre Anlage beschädigt wird oder nicht mehr funktioniert."
generali,geschaeftskunden_rundum-schutz_unternehmenssicherungspolice_cleansed.md,Unternehmenssicherungspolice,"Die Unternehmenssicherungspolice bietet einen umfassenden Schutz für Unternehmen, indem sie verschiedene Bausteine wie SachInhaltsversicherung, Betriebshaftpflichtversicherung und Ertragsausfallversicherung kombiniert. Diese Police ermöglicht es Unternehmen, sich gegen finanzielle Folgen von Schäden durch Feuer, Einbruchdiebstahl, Vandalismus und andere Risiken abzusichern und bietet zudem maßgeschneiderte Leistungen zur Vermeidung von Cybervorfällen."
generali,nachhaltigkeit_the-human-safety-net_cleansed.md,Unfallversicherung,"Die Unfallversicherung bietet finanzielle Unterstützung bei Unfällen, die zu dauerhaften Schäden oder Invalidität führen. Sie umfasst Leistungen wie eine Kapitalzahlung im Falle eines Unfalls und kann individuell an die Bedürfnisse des Versicherten angepasst werden."
generali,geschaeftskunden_waren-transport_tiefkuehlgutversicherung_cleansed.md,Tiefkühlgutversicherung,"Die Tiefkühlgutversicherung von Generali bietet umfassenden Versicherungsschutz für gewerblich genutzte tiefgefrorene Lebensmittel und Rohstoffe. Sie deckt Schäden durch verschiedene Gefahren wie Kältemittelversagen, Einbruchdiebstahl und Brand ab und stellt sicher, dass im Schadensfall der Wiederbeschaffungspreis ersetzt wird. Die Versicherung setzt eine konstante Lagerung des Kühlguts bei maximal minus Grad voraus."
generali,service-kontakt_formularcenter_cleansed.md,Pflegezusatzversicherung,"Die Pflegezusatzversicherung ergänzt die gesetzliche Pflegeversicherung und bietet finanzielle Unterstützung im Falle einer Pflegebedürftigkeit. Sie ermöglicht eine bessere Absicherung und kann helfen, die Kosten für Pflegeleistungen zu decken, die nicht von der gesetzlichen Versicherung übernommen werden."
generali,geschaeftskunden_waren-transport_ausstellungs-versicherung_cleansed.md,Ausstellungsversicherung,"Die Ausstellungsversicherung bietet umfassenden Schutz für Kunstgegenstände und Produkte, die auf Messen oder Ausstellungen präsentiert werden. Sie deckt Risiken wie Verlust, Beschädigung oder Zerstörung durch verschiedene Gefahren ab, sowohl im Inland als auch im Ausland, und kann individuell an die Bedürfnisse des Versicherten angepasst werden."
generali,privatkunden_gesundheit-freizeit_freizeit-versicherung_cleansed.md,RundumSchutz,"Der RundumSchutz bietet umfassenden Versicherungsschutz für Privat- und Geschäftskunden in verschiedenen Bereichen wie Gesundheit, Freizeit, Recht und Vorsorge. Er deckt eine Vielzahl von Risiken ab, darunter Kfz-Versicherung, Hausratversicherung und Unfallversicherung, und sorgt so für eine ganzheitliche Absicherung im Alltag."
generali,geschaeftskunden_cleansed.md,Betriebliche GruppenUnfallversicherung,"Die betriebliche GruppenUnfallversicherung schützt Mitarbeiter im Falle eines Unfalls während der Arbeitszeit. Sie bietet finanzielle Unterstützung und kann individuell gestaltet werden, um den spezifischen Anforderungen des Unternehmens gerecht zu werden."
generali,privatkunden_fahrzeug-zuhause_kfz-versicherung_servicewerkstaetten_cleansed.md,Vermögensaufbau Sicherheitsplan,"Der Vermögensaufbau Sicherheitsplan ist ein Produkt zur langfristigen Vermögensbildung, das auf Sicherheit und Rendite abzielt. Es bietet eine strukturierte Anlagestrategie, um finanzielle Ziele zu erreichen und gleichzeitig Risiken zu minimieren."
generali,privatkunden_gesundheit-freizeit_gesundheitsservices_cleansed.md,Unfallversicherung,"Die Unfallversicherung bietet finanzielle Unterstützung im Falle eines Unfalls, der zu dauerhaften Schäden oder Invalidität führt. Sie sichert die Versicherten ab und kann auch Leistungen für die Genesung und Rehabilitation umfassen."
generali,service-kontakt_self-service_meine-dokumente-postfach_cleansed.md,Unfallversicherung,"Die Unfallversicherung bietet finanziellen Schutz bei Unfällen, die zu dauerhaften Schäden oder Invalidität führen können. Sie umfasst Leistungen wie eine Kapitalauszahlung im Falle eines Unfalls und kann individuell angepasst werden, um den persönlichen Bedürfnissen gerecht zu werden."
generali,geschaeftskunden_gesundheit-betriebliche-vorsorge_betriebliche-krankenversicherung-inland_cleansed.md,Betriebliche Krankenversicherung (bKV),"Die betriebliche Krankenversicherung bietet Unternehmen die Möglichkeit, ihren Mitarbeitern eine hochwertige Gesundheitsversorgung zu ermöglichen und gleichzeitig die Mitarbeiterbindung zu stärken. Sie umfasst Vorteile wie die Übernahme der Versicherungsbeiträge durch den Arbeitgeber, sofortigen Versicherungsschutz ohne Wartezeiten und die Möglichkeit, auch Angehörige mitversichern zu lassen. Dies führt zu weniger Fehlzeiten und einer höheren Mitarbeiterzufriedenheit."
generali,generali-bewegt-deutschland_cleansed.md,Vermögensaufbau Sicherheitsplan,"Der Vermögensaufbau Sicherheitsplan ist ein Produkt zur langfristigen Vermögensbildung, das auf Sicherheit und Rendite abzielt. Er bietet eine strukturierte Möglichkeit, Vermögen aufzubauen und für die Zukunft vorzusorgen, während gleichzeitig Risiken minimiert werden."
generali,privatkunden_gesundheit-freizeit_kinderunfallversicherung_cleansed.md,Kinderunfallversicherung,"Die Kinderunfallversicherung von Generali bietet umfassenden finanziellen Schutz für Kinder im Falle eines Unfalls, einschließlich hoher Invaliditätsleistungen und zusätzlicher Leistungen wie Schmerzensgeld und Nachhilfegeld. Sie schützt weltweit rund um die Uhr und ist besonders wichtig, da gesetzliche Unfallversicherungen oft nicht ausreichen, um die finanziellen Folgen eines Unfalls abzudecken."
generali,geschaeftskunden_gesundheit-betriebliche-vorsorge_gruppen-unfallversicherung_cleansed.md,Betriebliche GruppenUnfallversicherung,"Die Betriebliche GruppenUnfallversicherung bietet umfassenden Schutz für Mitarbeiter sowohl im Arbeitsumfeld als auch in der Freizeit. Sie ermöglicht eine individuelle Anpassung der Leistungen, einschließlich Invaliditätsleistungen und Todesfallleistungen, und bietet weltweiten Schutz bei Unfällen. Zudem können Unternehmen von steuerlichen Vorteilen profitieren, da die Beiträge als Betriebsausgaben gelten."
generali,privatkunden_recht-haftung_haus-grundbesitzerhaftpflichtversicherung_cleansed.md,Haus Grundbesitzerhaftpflichtversicherung,"Diese Versicherung schützt Eigentümer von Immobilien, insbesondere bei vermieteten Mehrfamilienhäusern, vor Schadenersatzansprüchen, die aus der Nutzung des Grundstücks entstehen können. Sie deckt unter anderem Schäden ab, die durch unzureichende Räumpflicht im Winter oder herabfallende Dachziegel verursacht werden. Die Versicherungssumme für Personenschäden, Sachschäden und Vermögensschäden beträgt pauschal bis zu mehreren Millionen Euro."
generali,journal_stress-reduzieren-mit-lamas_cleansed.md,Hausratversicherung,"Die Hausratversicherung schützt das persönliche Eigentum in der Wohnung oder im Haus vor Schäden durch Feuer, Wasser, Einbruchdiebstahl und Vandalismus. Sie bietet finanzielle Sicherheit, indem sie die Kosten für die Wiederbeschaffung oder Reparatur von beschädigten oder gestohlenen Gegenständen übernimmt."
generali,geschaeftskunden_geschaeft-gebaeude_firmenrechtsschutzversicherung_cleansed.md,RundumSchutz,"RundumSchutz bietet umfassenden Versicherungsschutz für Privat- und Geschäftskunden, einschließlich Gesundheitsvorsorge, Sachversicherungen und Rechtsschutz. Die Produkte sind individuell anpassbar und decken verschiedene Betriebsarten und Größen ab, um den spezifischen Bedürfnissen der Kunden gerecht zu werden."
generali,privatkunden_gesundheit-freizeit_gesundheitsservices_kooperationen_amplifon_cleansed.md,Vermögensaufbau Sicherheitsplan,"Der Vermögensaufbau Sicherheitsplan ist ein Finanzprodukt, das darauf abzielt, Vermögen langfristig aufzubauen und abzusichern. Es kombiniert Spar- und Versicherungselemente, um eine finanzielle Sicherheit für die Zukunft zu gewährleisten."
generali,privatkunden_fahrzeug-zuhause_digitale-pannenhilfe_cleansed.md,Reiseversicherung,"Die Reiseversicherung schützt Reisende vor finanziellen Verlusten durch Stornierungen, medizinische Notfälle im Ausland und andere unvorhergesehene Ereignisse während der Reise. Sie sorgt für Sicherheit und Entspannung während des Reisens."
generali,privatkunden_rundum-schutz_mein-pflegeschutz_cleansed.md,Pflegerentenversicherung,"Die Pflegerentenversicherung von Generali bietet finanziellen Schutz im Pflegefall, indem sie eine monatliche Rente garantiert, die steuerfrei ist. Sie ermöglicht eine individuelle Anpassung der Höhe der Rente und bietet Optionen wie Beitragsrückgewähr im Todesfall sowie weltweiten Versicherungsschutz, einschließlich der Absicherung gegen Demenz. Zudem können Versicherte von einer sofortigen Leistung ohne Wartezeit profitieren."
generali,nachhaltigkeitsbezogene-offenlegung_cleansed.md,Unfallversicherung,"Die Unfallversicherung bietet finanziellen Schutz bei Unfällen, die zu dauerhaften Schäden oder Invalidität führen können. Sie sichert eine einmalige Kapitalleistung oder regelmäßige Rentenzahlungen im Falle eines Unfalls und unterstützt die Versicherten in schwierigen Lebenslagen. Zusatzleistungen wie eine Kinderunfallversicherung sind ebenfalls verfügbar."
generali,privatkunden_vorsorge-finanzen_parkdepot-flex_cleansed.md,Pflegezusatzversicherung,"Die Pflegezusatzversicherung ergänzt die gesetzliche Pflegeversicherung und bietet finanzielle Unterstützung im Falle einer Pflegebedürftigkeit. Sie hilft, die Kosten für Pflegeleistungen zu decken und sorgt für eine bessere Lebensqualität im Alter."
generali,service-kontakt_schutzbrief-service_cleansed.md,Unfallversicherung,"Die Unfallversicherung bietet finanziellen Schutz bei Unfällen, die zu dauerhaften Schäden oder Invalidität führen können. Sie sichert nicht nur die medizinischen Kosten ab, sondern auch eine mögliche Einkommensausfallentschädigung."
generali,privatkunden_fahrzeug-zuhause_hausratversicherung_haus-und-wohnungsschutzbrief_cleansed.md,Generali GesundheitsApp,"Die Generali GesundheitsApp ermöglicht es Nutzern, ihre Gesundheitsdaten zu verwalten, Arztrechnungen hochzuladen und Gesundheitsservices einfach zu nutzen. Sie bietet eine benutzerfreundliche Plattform zur Unterstützung der Gesundheitsvorsorge und -verwaltung."
generali,geschaeftskunden_geschaeft-gebaeude_gewerbliche-haftpflichtversicherung_cleansed.md,Unternehmenssicherungspolice,"Die Unternehmenssicherungspolice von Generali bietet eine umfassende Bündelung von Versicherungsleistungen, die individuell auf die Bedürfnisse von Unternehmen abgestimmt sind. Sie umfasst Haftpflicht-, Sachinhalt- und Ertragsausfallversicherungen sowie zusätzliche Bausteine wie Glasbruch und Elektronikversicherung, um einen optimalen Schutz gegen verschiedene Risiken zu gewährleisten."
generali,geschaeftskunden_gesundheit-betriebliche-vorsorge_zeitwert-altersteilzeitkonten_cleansed.md,RundumSchutz,"Der RundumSchutz bietet umfassende Versicherungslösungen für Privat- und Geschäftskunden, die verschiedene Bereiche wie Gesundheit, Vorsorge, Sach- und Transportversicherungen abdecken. Er ermöglicht individuellen Schutz, der auf die spezifischen Bedürfnisse der Kunden zugeschnitten ist, und bietet eine Vielzahl von Optionen, um Risiken in unterschiedlichen Lebens- und Geschäftssituationen abzusichern."
generali,journal_ueberwinde-dich-wasserspringen_cleansed.md,Berufsunfähigkeitsversicherung,"Die Berufsunfähigkeitsversicherung sichert das Einkommen ab, falls der Versicherte aufgrund von Krankheit oder Unfall nicht mehr in der Lage ist, seinen Beruf auszuüben. Sie bietet finanzielle Unterstützung, um den Lebensstandard auch in schwierigen Zeiten aufrechtzuerhalten."
generali,service-kontakt_schaden-melden_wohngebaeude_cleansed.md,Hausratversicherung,"Die Hausratversicherung schützt das persönliche Eigentum in der Wohnung oder im Haus vor Risiken wie Diebstahl, Feuer oder Wasserschäden. Sie bietet eine finanzielle Absicherung für den Verlust oder die Beschädigung von Möbeln, Elektronik und anderen Wertgegenständen. Kunden können ihre Versicherungssumme individuell anpassen, um optimalen Schutz zu gewährleisten."
generali,privatkunden_gesundheit-freizeit_reise-krankenversicherung_cleansed.md,Pflegezusatzversicherung,"Die Pflegezusatzversicherung ergänzt die gesetzliche Pflegeversicherung und bietet zusätzlichen finanziellen Schutz im Pflegefall. Sie sichert die Lebensqualität im Alter und hilft, die Kosten für Pflegeleistungen zu decken, die nicht von der gesetzlichen Versicherung übernommen werden."
generali,privatkunden_fahrzeug-zuhause_motorradversicherung_cleansed.md,Kfz-Versicherung,"Die Kfz-Versicherung von Generali bietet umfassenden Schutz für Fahrzeuge, einschließlich der gesetzlichen Kfz-Haftpflichtversicherung und optionaler Kaskoversicherung. Sie umfasst Leistungen wie Neupreisentschädigung, Schutz bei Diebstahl und Elementarschäden sowie eine kompetente Schadenservice-Hotline für schnelle Unterstützung im Schadensfall."
generali,privatkunden_rundum-schutz_young-and-life_cleansed.md,RundumSchutz,"RundumSchutz bietet umfassenden Versicherungsschutz für Privat- und Geschäftskunden, der verschiedene Bereiche wie Gesundheit, Fahrzeug, Rechtsschutz und Vermögenssicherung abdeckt. Kunden können aus einer Vielzahl von spezifischen Policen wählen, um ihre individuellen Bedürfnisse in Bezug auf Sicherheit und Vorsorge zu erfüllen."
generali,geschaeftskunden_gesundheit-betriebliche-vorsorge_direktversicherung_cleansed.md,Firmenrechtsschutzversicherung,"Die Firmenrechtsschutzversicherung schützt Unternehmen vor den finanziellen Risiken, die aus rechtlichen Auseinandersetzungen entstehen können. Sie deckt die Kosten für Rechtsstreitigkeiten ab und bietet somit eine wichtige Absicherung für Unternehmen, um sich gegen unvorhergesehene rechtliche Herausforderungen zu wappnen."
generali,privatkunden_rundum-schutz_vermoegensaufbau-und-sicherheitsplan_cleansed.md,Vermögensaufbau Sicherheitsplan,Der Vermögensaufbau Sicherheitsplan bietet eine flexible Anlagestrategie zur finanziellen Absicherung und zum Vermögensaufbau. Kunden können aus verschiedenen Anlagemöglichkeiten wählen und ihre Strategie jederzeit an Marktveränderungen anpassen. Zudem profitieren sie von attraktiven Beitragsvorteilen und einem Kundenbonus bei Abschluss mehrerer Absicherungskomponenten.
generali,privatkunden_gesundheit-freizeit_beitragsentlastung-im-alter_cleansed.md,Vermögensaufbau Sicherheitsplan,"Der Vermögensaufbau Sicherheitsplan ist ein Produkt, das darauf abzielt, langfristig Vermögen aufzubauen und gleichzeitig finanzielle Sicherheit zu gewährleisten. Es kombiniert Spar- und Versicherungselemente, um den Kunden eine solide Grundlage für ihre finanzielle Zukunft zu bieten."
generali,privatkunden_cleansed.md,Unfallversicherung,"Die Unfallversicherung bietet finanziellen Schutz bei Unfällen, die zu dauerhaften Schäden oder Invalidität führen können. Sie umfasst Leistungen wie eine Kapitalauszahlung im Falle eines Unfalls und kann durch Zusatzleistungen wie Kinderunfallversicherungen erweitert werden."
generali,privatkunden_gesundheit-freizeit_unfallversicherung_unfall-assistance-xxl_cleansed.md,Unfall Assistance XXL,"Die Unfall Assistance XXL bietet umfassende Unterstützung im Alltag nach einem Unfall, einschließlich Haushaltsdiensten, Fahrdiensten und Pflegeleistungen. Kunden können individuelle Hilfebedürfnisse besprechen und erhalten Hilfe bei der Organisation und Kostenübernahme für verschiedene Dienstleistungen, um den Alltag nach einem Unfall zu erleichtern."
generali,geschaeftskunden_geschaeft-gebaeude_photovoltaik-versicherung_cleansed.md,Photovoltaikversicherung,"Die Photovoltaikversicherung bietet umfassenden Schutz für Photovoltaikanlagen gegen Beschädigung, Diebstahl und Ertragsausfall. Sie umfasst eine Allgefahrendeckung, die Risiken wie Naturereignisse, Vandalismus und Bedienungsfehler abdeckt, sowie eine Betriebsunterbrechungsdeckung, die entgangene Einspeisevergütungen während Reparaturzeiten entschädigt."
