Feature,Company: ARAG – gewerbeversicherung_betriebshaftpflichtversicherung,Company: AXA – geschaeftskunden_veranstalterhaftpflichtversicherung,source,Company: Barmenia – Krankenhaustagegeld,Company: DKV – Betriebliche Krankenversicherung,Company: barmenia – deu_bde_privat_bde_produkte_privat_bde_gesundheit_kv_voll_spezialtarife_uebersicht.xhtml,Company: dkv – kunden-kundenbereich-service-rechnungen-einreichen-91963.md,Company: Barmenia – deu_bde_privat_bde_service_bde_infocenter_bde_krankenversicherung_bde_erstattungsfaehige_naturheilverfahren_uebersicht.xhtml,Company: DKV – gesundheit-organisation-hilfsmittel-service-schlafapnoe-geraete.md,Company: DKV – produkte-beihilfetarif-beamtenanwaerter-beamte-referendare-111254.md,Company: ERGO – de_Produkte_Zahnzusatzversicherung_Kieferorthopaedie,Company: DKV – Gesundheit Organisation Hilfsmittel Service Rollatoren,Company: ERGO – Zahnzusatzversicherung Verdoppelter Festzuschuss bei Zahnersatz,Company: dkv – gesundheit-organisation-hilfsmittel-service-hilfsmittel-zur-insulintherapie.md,Company: ergo – de_Produkte_Zahnzusatzversicherung_Zahnzusatzversicherung-ohne-Wartezeit,Company: dkv – zusatzversicherungen.md,Company: ergo – de_Service_ereignis-melden_leistungsfall-melden_kranken,Company: DKV – gesundheit-innere-organe.md,Company: ERGO – de_Service_ereignis-melden_leistungsfall-melden_zahn,Company: DKV – gesundheit-familienprogramme.md,Company: ERGO – de_Produkte_Zahnzusatzversicherung_Kieferorthopaedie_abschluss_kfo,Company: DKV – Gesundheit Organisation Hilfsmittel Service Beatmungsgeräte,Company: ERGO – Zahnzusatzversicherung mit Implantaten,Company: Generali – service-kontakt_schaden-melden_haftpflicht,Company: ERGO – de_Produkte_Haftpflichtversicherung_Hundehalterhaftpflicht,Company: dkv – gesundheit-familie.md,Company: ergo – de_Produkte,Company: DKV – private-krankenversicherungen.md,Company: ERGO – de_Produkte_Zahnzusatzversicherung_zahnersatz,Company: DKV – produkte-krankenversicherung-grosskunden-firmen-1556.md,Company: Generali – geschaeftskunden_gesundheit-betriebliche-vorsorge_betriebliche-krankenversicherung-inland,Company: dkv – gesundheit-organisation-hilfsmittel-service-kompressionstherapiegeraete.md,Company: generali – service-kontakt_self-service_vertragsinformationen_tarifinformation-krankenversicherung,Company: ERGO – Zahnzusatzversicherung,Company: Generali – Krankenzusatzversicherung,Company: ergo – de_Produkte_Zahnzusatzversicherung_Zahnzusatzversicherung-ohne-Wartezeit_abschluss_zez,Company: generali – service-kontakt_self-service_dokumente-einreichen_rechnung,Company: Generali – privatkunden_gesundheit-freizeit_gesundheitsservices,Company: R+V – krankenversicherungen,Company: R+V – private-krankenversicherung,Company: SDK – versicherungen_zusatzversicherung_auslandskrankenversicherung,Company: sdk – versicherungen_zusatzversicherung_zahnzusatzversicherung_was-genau-passiert-bei-einer-professionellen-zahnreinigung,Company: group – produkte_ambulante-zusatzversicherung,Company: sdk – versicherungen_private-krankenversicherung_gesundheitsdienstleistungen_gesundheitsberatung,Company: group – produkte_auslandskrankenversicherung,Company: huk-coburg – fahrzeuge_kfz-versicherung_elektro-kleinstfahrzeuge,Company: r+v – haftpflichtversicherung_haus-und-grundbesitzerhaftpflicht,Company: sdk – versicherungen_private-krankenversicherung_angebot,Company: group – produkte_zahnzusatzversicherung,Company: sdk – versicherungen_private-krankenversicherung_gesundheitsdienstleistungen_gesundheitsdienstleistungen-fuer-krankenzusatzversicherte,Company: group – produkte_auslandskrankenversicherung_familie,Company: sdk – versicherungen_zusatzversicherung_krankentagegeldversicherung,Company: group – service_gesundheitswelt,Company: sdk – versicherungen_private-krankenversicherung_work-life-balance-fuer-medizinerinnen-und-mediziner,Company: group – ratgeber_zahnzusatzversicherung-zahnfuellung,Company: sdk – services_online-services_einwilligungerklaerung,Company: group – ratgeber_zahnzusatzversicherung-sinnvoll,Company: sdk – versicherungen_zusatzversicherung_auslandskrankenversicherung_rechner,Company: group – produkte_private-krankenversicherung_studenten,Company: sdk – services_online-services_faq,Company: group – ratgeber_zahnzusatzversicherung-weisse-zaehne,Company: sdk – versicherungen_zusatzversicherung_ambulante-zusatzversicherung,Company: group – produkte_private-krankenversicherung_angebot,Company: sdk – versicherungen_private-krankenversicherung_pkv-fuer-aerzte,Company: group – ratgeber_zahnzusatzversicherung-ohne-wartezeit,Company: sdk – versicherungen_private-krankenversicherung,Company: group – produkte_krankenhauszusatzversicherung,Company: huk-coburg – fahrzeuge_kfz-versicherung_quad-versicherung.md,Company: r+v – haftpflichtversicherung_gewaesserschadenhaftpflicht,Company: sdk – downloads_Broschueren_Broschuere-Optionstarif-Private-Krankenversicherung-1.645s.pdf,Company: group – ratgeber_zahnzusatzversicherung-professionelle-zahnreinigung,Company: r+v – service,Company: group – produkte,Company: Generali – privatkunden_fahrzeug-zuhause_kunstversicherung,Company: ERGO – de_Service_ereignis-melden_schadenfall-melden,Company: R+V – beratung_direktberatung,Company: SIGNAL IDUNA – service_schaden-melden,Company: Generali – privatkunden_rundum-schutz_mein-zukunftsplan,Company: ERGO – de_Produkte_Rentenversicherung_Sofort-Rente,Company: r+v – altersvorsorge_private-rentenversicherung_privat-rente-indexinvest,Company: group – produkte_gewerbe_betriebsrentenversicherung,Company: sdk – versicherungen_altersvorsorge_betriebliche-altersvorsorge,Company: group – service_bav-net,Company: dkv – Reiserücktrittsversicherung & Reiseabbruchversicherung,Company: ergo – Schülerreise-Versicherung,Company: dkv – productdb_img_img_Auszeichnungen_Siegel-Franke-Bornberg-BMK1-BMZ1_XL.jpg_6,Company: ergo – de_Service_ereignis-melden,Company: AXA – pk_gesundheit_p_krankenhauszusatzversicherung,Company: Barmenia – deu_bde_geschaeftlich_bde_produkte_geschaeftskunde_bde_gesundheit_1_uebersicht.xhtml,Company: AXA – pk_gesundheit_p_ambulante-zusatzversicherung,Company: Barmenia – deu_bde_geschaeftlich_bde_produkte_geschaeftskunde_bde_gesundheit_1_kollektiv_1_uebersicht.xhtml,Company: Barmenia – MediApp-Tarif (Telearzt),Company: DKV – Orthesen Service,Company: Barmenia – VHV+ Tarif,Company: DKV – KombiMed Zahn Plus
Unique Features,,,comparison_cluster_11.md,,,"Spezielle Tarife für Profisportler, individuelle Anpassung für Beihilfeberechtigte","Belegupload über Kundenportal/App, Hilfsmittel-Service, DKV-Card für Krankenhausaufenthalte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Support,,,comparison_cluster_11.md,,,Kontakt unter Telefonnummer 0202 438-2906,"Kundenservice telefonisch unter 0800 3746 100, täglich von 7 bis 19 Uhr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Submission of Claims,,,comparison_cluster_11.md,,,Not specified,"Belegupload, E-Mail, Post, Fax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Coverage,,,comparison_cluster_11.md,,,MediHealth Prime für internationale Fachkräfte,Auslandskrankenversicherung für Aufenthalte unter 8 Wochen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage Type,,,comparison_cluster_12.md,,,,,Private health insurance and supplementary insurance for statutory insured individuals,Insurance for sleep apnea devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specific Coverage Details,,,comparison_cluster_12.md,,,,,Reimbursable naturopathic procedures based on Hufeland directory and fee schedule for alternative practitioners,"Loan of sleep apnea devices, accessories, consumables, repairs, maintenance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unique Features,,,comparison_cluster_12.md,,,,,Choice of a variety of reimbursable naturopathic procedures,"Direct cost settlement with partners, no need for new prescription for continued use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Support,,,comparison_cluster_12.md,,,,,"Phone consultation available Monday to Friday 08:00-20:00, Saturday 09:00-15:00","Nationwide network of qualified service providers, emergency service available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Benefits,,,comparison_cluster_12.md,,,,,Not specified,Free replacement in case of device damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Group,,,comparison_cluster_13.md,,,,,,,Beamte und Beamtenanwärter,Kinder bis 17 Jahre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage Type,,,comparison_cluster_13.md,,,,,,,"Ergänzung zur Beihilfe, medizinische Absicherung",Kieferorthopädie Sofortschutz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premium,,,comparison_cluster_13.md,,,,,,,Not specified,"Ab 12,70 € monatlich",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage Details,,,comparison_cluster_13.md,,,,,,,"Arzt, Zahnarzt, Krankenhaus, moderne Therapien","50% bis 75% Erstattung für Kieferorthopädie, 100% für Zahnerhalt/-ersatz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Benefits,,,comparison_cluster_13.md,,,,,,,"Vorsorge- und Gesundheitsprogramme, Fallmanagement, Hilfsmittelservice","Keine Wartezeiten, Sofortleistung, Unfallsofortschutz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unique Features,,,comparison_cluster_13.md,,,,,,,Individuelle Zusammenstellung des Gesundheitsschutzes,"Keine Gesundheitsfragen, Vertrag online abschließbar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age Limit,,,comparison_cluster_13.md,,,,,,,Not specified,Endet mit dem 21. Lebensjahr des Kindes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Support,,,comparison_cluster_13.md,,,,,,,"Gebührenfreier Kundenservice, täglich von 7 bis 24 Uhr",Not specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage Type,,,comparison_cluster_14.md,,,,,,,,,Kranken- und Pflegeversicherung,Dental prostheses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eligibility,,,comparison_cluster_14.md,,,,,,,,,Pflegegrad or Antrag auf häusliche Pflege erforderlich,No waiting period or health questions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage Details,,,comparison_cluster_14.md,,,,,,,,,"Leihweise Überlassung, Zubehör, Reparaturen, Wartungen, Austausch",Doubled fixed subsidy for dental prostheses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Initial Requirements,,,comparison_cluster_14.md,,,,,,,,,Ärztliche Verordnung und Rechnung,None specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premium,,,comparison_cluster_14.md,,,,,,,,,Not specified,Starts at 2.20 € for ages 20-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Support,,,comparison_cluster_14.md,,,,,,,,,"Beratung, Anpassung, Erprobung, Lieferung, Wartungsservice",Easy online claims submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unique Features,,,comparison_cluster_14.md,,,,,,,,,Zusammenarbeit mit qualifizierten Leistungserbringern in Deutschland,Worldwide coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Service,,,comparison_cluster_14.md,,,,,,,,,Telefon: 0221 578 2600,Not specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage Type,,,comparison_cluster_15.md,,,,,,,,,,,Insulin therapy supplies and insulin pump,Dental prosthetics and treatments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage Details,,,comparison_cluster_15.md,,,,,,,,,,,Insulin pumps covered with a usage duration of 5 years; consumables covered with prescription,Doubles statutory health insurance subsidy for dental prosthetics; no waiting period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premiums,,,comparison_cluster_15.md,,,,,,,,,,,Not specified,Starting at €37.80 monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unique Features,,,comparison_cluster_15.md,,,,,,,,,,,No special agreements in insulin therapy; no new prescription needed for replacement pump,Can be purchased during ongoing dental treatment; no waiting period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Support,,,comparison_cluster_15.md,,,,,,,,,,,Diabetologist assistance in provider selection,"Coverage worldwide, including treatments abroad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Duration,,,comparison_cluster_15.md,,,,,,,,,,,Not specified,"Minimum 24 months, then monthly cancellation possible",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eligibility,,,comparison_cluster_15.md,,,,,,,,,,,Not specified,Not suitable for privately insured; only for statutory insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
