main_category,sub_category,description
Title Insurance,Construction Loan Title Insurance,Covers lenders against title defects during the construction phase of a property development.
Title Insurance,Easement Title Insurance,Protects property owners against losses from undisclosed easements that could affect property use.
Legal Expense Insurance,Personal Legal Expense Insurance,"Covers legal costs for individuals in disputes such as employment issues, consumer rights, and personal injury claims."
Legal Expense Insurance,Business Legal Expense Insurance,"Provides coverage for businesses against legal costs arising from disputes with employees, customers, or suppliers."
Legal Expense Insurance,Family Legal Expense Insurance,"Offers coverage for legal expenses related to family matters, including divorce, child custody, and inheritance disputes."
Legal Expense Insurance,Motor Legal Expense Insurance,Covers legal costs for motorists involved in disputes following a road traffic accident.
Legal Expense Insurance,Landlord Legal Expense Insurance,"Protects landlords against legal costs arising from disputes with tenants, such as eviction or property damage claims."
Mortgage Insurance,Private Mortgage Insurance (PMI),"Required by lenders when a borrower makes a down payment of less than 20% on a conventional loan, protecting the lender against default."
Mortgage Insurance,FHA Mortgage Insurance,"Required for FHA loans, providing protection to lenders against borrower default."
Mortgage Insurance,VA Loan Funding Fee,"A one-time fee paid by borrowers using a VA loan, which helps protect lenders against default."
Mortgage Insurance,USDA Loan Guarantee Fee,"A fee associated with USDA loans, providing a guarantee to lenders against borrower default."
Mortgage Insurance,Lender-Paid Mortgage Insurance,"Mortgage insurance paid by the lender, typically resulting in a higher interest rate for the borrower."
Reinsurance,Proportional Reinsurance,The reinsurer receives a fixed percentage of premiums and pays the same percentage of claims.
Reinsurance,Non-Proportional Reinsurance,"The reinsurer only pays claims that exceed a certain amount, known as the retention limit."
Reinsurance,Facultative Reinsurance,"Reinsurance for a single risk or a defined package of risks, negotiated separately."
Reinsurance,Treaty Reinsurance,"A reinsurance agreement covering a portfolio of risks, automatically including all policies within the scope."
Reinsurance,Excess of Loss Reinsurance,A type of non-proportional reinsurance where the reinsurer covers losses exceeding the insurer's retention limit.
Surety Bonds,Contract Surety Bonds,"Guarantee the performance of contractual obligations, commonly used in construction projects."
Surety Bonds,Commercial Surety Bonds,Required by government agencies to ensure compliance with regulations and laws.
Surety Bonds,Court Surety Bonds,Required in legal proceedings to ensure compliance with court orders or judgments.
Surety Bonds,Fidelity Bonds,Protect businesses against losses from employee dishonesty or fraud.
Surety Bonds,License and Permit Bonds,"Required for certain businesses to obtain licenses or permits, ensuring compliance with regulations."
Burial Insurance,Pre-Need Funeral Insurance,"Covers the cost of funeral services, typically arranged in advance with a funeral home."
Burial Insurance,Final Expense Insurance,"Provides a small death benefit to cover funeral and burial expenses, often without a medical exam."
Burial Insurance,Guaranteed Issue Life Insurance,"Offers coverage without medical underwriting, primarily for covering end-of-life expenses."
Burial Insurance,Simplified Issue Life Insurance,"Requires minimal health questions for coverage, aimed at covering funeral costs."
Burial Insurance,Joint Burial Insurance,"Covers two individuals, typically spouses, with a single policy to cover funeral expenses."
Income Protection Insurance,Short-Term Income Protection,"Provides income replacement for a short period, typically up to one year, if the insured is unable to work due to illness or injury."
Income Protection Insurance,Long-Term Income Protection,"Offers income replacement for an extended period, often until retirement age, if the insured is unable to work due to a disabling condition."
Income Protection Insurance,Accident-Only Income Protection,"Covers income loss due to accidents, excluding illnesses."
Income Protection Insurance,Critical Illness Income Protection,Provides income replacement if the insured is diagnosed with a critical illness and unable to work.
Income Protection Insurance,Self-Employed Income Protection,"Tailored for self-employed individuals, offering income replacement if they are unable to work due to illness or injury."
Mobile Phone Insurance,Accidental Damage Insurance,Covers repair or replacement costs for accidental damage to a mobile phone.
Mobile Phone Insurance,Theft Insurance,"Provides coverage for the theft of a mobile phone, often requiring a police report."
Mobile Phone Insurance,Loss Insurance,"Covers the loss of a mobile phone, typically with a deductible."
Mobile Phone Insurance,Extended Warranty Insurance,"Extends the manufacturer's warranty, covering mechanical or electrical failures."
Mobile Phone Insurance,Water Damage Insurance,Specifically covers repair or replacement costs for water-damaged mobile phones.
Identity Theft Insurance,Credit Monitoring Services,"Provides alerts for changes in credit reports, helping detect identity theft early."
Identity Theft Insurance,Identity Restoration Services,"Assists in restoring the insured's identity after a theft, including legal and administrative support."
Identity Theft Insurance,Fraud Expense Coverage,"Covers expenses incurred while resolving identity theft, such as legal fees and lost wages."
Identity Theft Insurance,Cyber Monitoring Services,Monitors the internet and dark web for unauthorized use of personal information.
Identity Theft Insurance,Social Security Number Monitoring,Tracks the use of the insured's Social Security number to detect fraudulent activity.
Boat Insurance,Liability Coverage,Covers legal liabilities for injuries or damages caused by the insured's boat.
Boat Insurance,Hull Coverage,"Covers physical damage to the boat itself, including its structure and machinery."
Boat Insurance,Medical Payments Coverage,Pays for medical expenses for injuries sustained by the insured or passengers on the boat.
Boat Insurance,Uninsured Boater Coverage,Protects against damages caused by an uninsured or underinsured boater.
Boat Insurance,Personal Effects Coverage,"Covers personal belongings on the boat, such as fishing equipment and electronics."
Flood Insurance,Building Property Coverage,Covers the physical structure of a home or building against flood damage.
Flood Insurance,Personal Property Coverage,Covers personal belongings within a home or building against flood damage.
Flood Insurance,Replacement Cost Coverage,Provides reimbursement for the cost to replace damaged property with new items.
Flood Insurance,Actual Cash Value Coverage,"Covers the depreciated value of damaged property, rather than the replacement cost."
Flood Insurance,Increased Cost of Compliance Coverage,Covers costs to bring a home or building into compliance with floodplain management laws after a flood.
Earthquake Insurance,Dwelling Coverage,Covers the cost to repair or rebuild a home damaged by an earthquake.
Earthquake Insurance,Personal Property Coverage,Covers personal belongings within a home against earthquake damage.
Earthquake Insurance,Loss of Use Coverage,Provides living expenses if the insured's home is uninhabitable after an earthquake.
Earthquake Insurance,Building Code Upgrade Coverage,Covers the cost to upgrade a home to current building codes during repairs after an earthquake.
Earthquake Insurance,Landscaping Coverage,"Covers damage to landscaping features, such as trees and shrubs, caused by an earthquake."
Volcano Insurance,Lava Flow Coverage,Covers damage to property caused by lava flows from a volcanic eruption.
Volcano Insurance,Ash Fall Coverage,Covers damage to property and cleanup costs resulting from volcanic ash fall.
Volcano Insurance,Volcanic Blast Coverage,Covers damage to property caused by the explosive force of a volcanic eruption.
Volcano Insurance,Mudflow Coverage,Covers damage to property caused by mudflows resulting from volcanic activity.
Volcano Insurance,Earthquake Coverage,Covers damage to property caused by earthquakes associated with volcanic activity.
Windstorm Insurance,Hurricane Coverage,"Covers damage to property caused by hurricanes, including wind and rain damage."
Windstorm Insurance,Tornado Coverage,"Covers damage to property caused by tornadoes, including wind and debris damage."
Windstorm Insurance,Cyclone Coverage,"Covers damage to property caused by cyclones, including wind and water damage."
Windstorm Insurance,Typhoon Coverage,"Covers damage to property caused by typhoons, including wind and flooding damage."
Windstorm Insurance,Windstorm Deductible Buyback,"Reduces the deductible for windstorm-related claims, providing greater financial protection."
Terrorism Insurance,Property Damage Coverage,Covers damage to property resulting from acts of terrorism.
Terrorism Insurance,Business Interruption Coverage,Compensates for lost income and operating expenses if a business is disrupted by a terrorist attack.
Terrorism Insurance,Liability Coverage,Covers legal liabilities for injuries or damages caused by a terrorist attack on the insured's premises.
Terrorism Insurance,Workers' Compensation Coverage,Provides benefits to employees injured in a terrorist attack while at work.
Terrorism Insurance,Cyber Terrorism Coverage,Protects against losses from cyber attacks carried out by terrorist groups.
Political Risk Insurance,Expropriation Coverage,Protects against losses from government seizure or nationalization of assets.
Political Risk Insurance,Currency Inconvertibility Coverage,Covers losses from the inability to convert local currency into foreign currency.
Political Risk Insurance,Political Violence Coverage,"Covers damage to assets from political violence, including war, civil unrest, and terrorism."
Political Risk Insurance,Breach of Contract Coverage,Protects against losses from government breach of contract or repudiation.
Political Risk Insurance,Non-Honoring of Sovereign Guarantees,Covers losses from a government's failure to honor financial guarantees or obligations.
Kidnap and Ransom Insurance,Corporate Kidnap and Ransom Insurance,"Provides coverage for businesses against the financial impact of employee kidnappings, including ransom payments and crisis management."
Kidnap and Ransom Insurance,Personal Kidnap and Ransom Insurance,"Offers protection for individuals and families against kidnapping risks, covering ransom payments and related expenses."
Kidnap and Ransom Insurance,Maritime Kidnap and Ransom Insurance,Covers shipping companies against the risk of crew kidnappings and hijackings at sea.
Kidnap and Ransom Insurance,Journalist Kidnap and Ransom Insurance,"Provides coverage for journalists working in high-risk areas, including ransom payments and crisis response."
Kidnap and Ransom Insurance,NGO Kidnap and Ransom Insurance,Protects non-governmental organizations and their staff against kidnapping risks in volatile regions.
Title Insurance,Owner's Title Insurance,"Protects property buyers against losses from title defects, liens, or encumbrances that were not discovered during the purchase."
Title Insurance,Lender's Title Insurance,Covers mortgage lenders against losses from title defects that could affect the validity of their lien on the property.
Title Insurance,Leasehold Title Insurance,Provides protection for leaseholders against title defects that could affect their leasehold interest.
Title Insurance,Construction Loan Title Insurance,Covers lenders against title defects during the construction phase of a property development.
Title Insurance,Easement Title Insurance,Protects property owners against losses from undisclosed easements that could affect property use.
Legal Expense Insurance,Personal Legal Expense Insurance,"Covers legal costs for individuals in disputes such as employment issues, consumer rights, and personal injury claims."
Legal Expense Insurance,Business Legal Expense Insurance,"Provides coverage for businesses against legal costs arising from disputes with employees, customers, or suppliers."
Legal Expense Insurance,Family Legal Expense Insurance,"Offers coverage for legal expenses related to family matters, including divorce, child custody, and inheritance disputes."
Legal Expense Insurance,Motor Legal Expense Insurance,Covers legal costs for motorists involved in disputes following a road traffic accident.
Legal Expense Insurance,Landlord Legal Expense Insurance,"Protects landlords against legal costs arising from disputes with tenants, such as eviction or property damage claims."
Mortgage Insurance,Private Mortgage Insurance (PMI),"Required by lenders when a borrower makes a down payment of less than 20% on a conventional loan, protecting the lender against default."
Mortgage Insurance,FHA Mortgage Insurance,"Required for FHA loans, providing protection to lenders against borrower default."
Mortgage Insurance,VA Loan Funding Fee,"A one-time fee paid by borrowers using a VA loan, which helps protect lenders against default."
Mortgage Insurance,USDA Loan Guarantee Fee,"A fee associated with USDA loans, providing a guarantee to lenders against borrower default."
Mortgage Insurance,Lender-Paid Mortgage Insurance,"Mortgage insurance paid by the lender, typically resulting in a higher interest rate for the borrower."
Reinsurance,Proportional Reinsurance,The reinsurer receives a fixed percentage of premiums and pays the same percentage of claims.
Reinsurance,Non-Proportional Reinsurance,"The reinsurer only pays claims that exceed a certain amount, known as the retention limit."
Reinsurance,Facultative Reinsurance,"Reinsurance for a single risk or a defined package of risks, negotiated separately."
Reinsurance,Treaty Reinsurance,"A reinsurance agreement covering a portfolio of risks, automatically including all policies within the scope."
Reinsurance,Excess of Loss Reinsurance,A type of non-proportional reinsurance where the reinsurer covers losses exceeding the insurer's retention limit.
Surety Bonds,Contract Surety Bonds,"Guarantee the performance of contractual obligations, commonly used in construction projects."
Surety Bonds,Commercial Surety Bonds,Required by government agencies to ensure compliance with regulations and laws.
Surety Bonds,Court Surety Bonds,Required in legal proceedings to ensure compliance with court orders or judgments.
Surety Bonds,Fidelity Bonds,Protect businesses against losses from employee dishonesty or fraud.
Surety Bonds,License and Permit Bonds,"Required for certain businesses to obtain licenses or permits, ensuring compliance with regulations."
Burial Insurance,Pre-Need Funeral Insurance,"Covers the cost of funeral services, typically arranged in advance with a funeral home."
Burial Insurance,Final Expense Insurance,"Provides a small death benefit to cover funeral and burial expenses, often without a medical exam."
Burial Insurance,Guaranteed Issue Life Insurance,"Offers coverage without medical underwriting, primarily for covering end-of-life expenses."
Burial Insurance,Simplified Issue Life Insurance,"Requires minimal health questions for coverage, aimed at covering funeral costs."
Burial Insurance,Joint Burial Insurance,"Covers two individuals, typically spouses, with a single policy to cover funeral expenses."
Income Protection Insurance,Short-Term Income Protection,"Provides income replacement for a short period, typically up to one year, if the insured is unable to work due to illness or injury."
Income Protection Insurance,Long-Term Income Protection,"Offers income replacement for an extended period, often until retirement age, if the insured is unable to work due to a disabling condition."
Income Protection Insurance,Accident-Only Income Protection,"Covers income loss due to accidents, excluding illnesses."
Income Protection Insurance,Critical Illness Income Protection,Provides income replacement if the insured is diagnosed with a critical illness and unable to work.
Income Protection Insurance,Self-Employed Income Protection,"Tailored for self-employed individuals, offering income replacement if they are unable to work due to illness or injury."
Mobile Phone Insurance,Accidental Damage Insurance,Covers repair or replacement costs for accidental damage to a mobile phone.
Mobile Phone Insurance,Theft Insurance,"Provides coverage for the theft of a mobile phone, often requiring a police report."
Mobile Phone Insurance,Loss Insurance,"Covers the loss of a mobile phone, typically with a deductible."
Mobile Phone Insurance,Extended Warranty Insurance,"Extends the manufacturer's warranty, covering mechanical or electrical failures."
Mobile Phone Insurance,Water Damage Insurance,Specifically covers repair or replacement costs for water-damaged mobile phones.
Identity Theft Insurance,Credit Monitoring Services,"Provides alerts for changes in credit reports, helping detect identity theft early."
Identity Theft Insurance,Identity Restoration Services,"Assists in restoring the insured's identity after a theft, including legal and administrative support."
Identity Theft Insurance,Fraud Expense Coverage,"Covers expenses incurred while resolving identity theft, such as legal fees and lost wages."
Identity Theft Insurance,Cyber Monitoring Services,Monitors the internet and dark web for unauthorized use of personal information.
Identity Theft Insurance,Social Security Number Monitoring,Tracks the use of the insured's Social Security number to detect fraudulent activity.
Boat Insurance,Liability Coverage,Covers legal liabilities for injuries or damages caused by the insured's boat.
Boat Insurance,Hull Coverage,"Covers physical damage to the boat itself, including its structure and machinery."
Boat Insurance,Medical Payments Coverage,Pays for medical expenses for injuries sustained by the insured or passengers on the boat.
Boat Insurance,Uninsured Boater Coverage,Protects against damages caused by an uninsured or underinsured boater.
Boat Insurance,Personal Effects Coverage,"Covers personal belongings on the boat, such as fishing equipment and electronics."
Flood Insurance,Building Property Coverage,Covers the physical structure of a home or building against flood damage.
Flood Insurance,Personal Property Coverage,Covers personal belongings within a home or building against flood damage.
Flood Insurance,Replacement Cost Coverage,Provides reimbursement for the cost to replace damaged property with new items.
Flood Insurance,Actual Cash Value Coverage,"Covers the depreciated value of damaged property, rather than the replacement cost."
Flood Insurance,Increased Cost of Compliance Coverage,Covers costs to bring a home or building into compliance with floodplain management laws after a flood.
Earthquake Insurance,Dwelling Coverage,Covers the cost to repair or rebuild a home damaged by an earthquake.
Earthquake Insurance,Personal Property Coverage,Covers personal belongings within a home against earthquake damage.
Earthquake Insurance,Loss of Use Coverage,Provides living expenses if the insured's home is uninhabitable after an earthquake.
Earthquake Insurance,Building Code Upgrade Coverage,Covers the cost to upgrade a home to current building codes during repairs after an earthquake.
Earthquake Insurance,Landscaping Coverage,"Covers damage to landscaping features, such as trees and shrubs, caused by an earthquake."
Volcano Insurance,Lava Flow Coverage,Covers damage to property caused by lava flows from a volcanic eruption.
Volcano Insurance,Ash Fall Coverage,Covers damage to property and cleanup costs resulting from volcanic ash fall.
Volcano Insurance,Volcanic Blast Coverage,Covers damage to property caused by the explosive force of a volcanic eruption.
Volcano Insurance,Mudflow Coverage,Covers damage to property caused by mudflows resulting from volcanic activity.
Volcano Insurance,Earthquake Coverage,Covers damage to property caused by earthquakes associated with volcanic activity.
Windstorm Insurance,Hurricane Coverage,"Covers damage to property caused by hurricanes, including wind and rain damage."
Windstorm Insurance,Tornado Coverage,"Covers damage to property caused by tornadoes, including wind and debris damage."
Windstorm Insurance,Cyclone Coverage,"Covers damage to property caused by cyclones, including wind and water damage."
Windstorm Insurance,Typhoon Coverage,"Covers damage to property caused by typhoons, including wind and flooding damage."
Windstorm Insurance,Windstorm Deductible Buyback,"Reduces the deductible for windstorm-related claims, providing greater financial protection."
Terrorism Insurance,Property Damage Coverage,Covers damage to property resulting from acts of terrorism.
Terrorism Insurance,Business Interruption Coverage,Compensates for lost income and operating expenses if a business is disrupted by a terrorist attack.
Terrorism Insurance,Liability Coverage,Covers legal liabilities for injuries or damages caused by a terrorist attack on the insured's premises.
Terrorism Insurance,Workers' Compensation Coverage,Provides benefits to employees injured in a terrorist attack while at work.
Terrorism Insurance,Cyber Terrorism Coverage,Protects against losses from cyber attacks carried out by terrorist groups.
Political Risk Insurance,Expropriation Coverage,Protects against losses from government seizure or nationalization of assets.
Political Risk Insurance,Currency Inconvertibility Coverage,Covers losses from the inability to convert local currency into foreign currency.
Political Risk Insurance,Political Violence Coverage,"Covers damage to assets from political violence, including war, civil unrest, and terrorism."
Political Risk Insurance,Breach of Contract Coverage,Protects against losses from government breach of contract or repudiation.
Political Risk Insurance,Non-Honoring of Sovereign Guarantees,Covers losses from a government's failure to honor financial guarantees or obligations.
